"Salesforce Customer ID","Installation End Date","Installation PL Closed","Installation Address - ZIP Code","Opportunity Battery Capacity kWh"
"C000685900","25.08.2023, 15:23","29.09.2023, 18:31","53947","15"
"C000746761","21.09.2023, 18:57","29.09.2023, 18:30","34414","10"
"C000606080","18.09.2023, 18:21","29.09.2023, 18:15","85055","10"
"C000780681","27.09.2023, 15:35","29.09.2023, 18:12","32312","5"
"C000885406","26.09.2023, 16:00","29.09.2023, 18:09","19057","10"
"C000698172","26.09.2023, 18:18","29.09.2023, 18:07","72415","10"
"C000687103","21.07.2023, 20:41","29.09.2023, 18:03","26452","10"
"C000795181","27.09.2023, 18:02","29.09.2023, 17:56","32584","10"
"C000819634","15.09.2023, 21:00","29.09.2023, 17:55","29351","10"
"C000869414","27.09.2023, 15:42","29.09.2023, 17:48","15518","10"
"C000852848","28.09.2023, 15:12","29.09.2023, 17:47","15345","10"
"C000766671","25.09.2023, 17:37","29.09.2023, 17:46","72800","10"
"C000615042","25.09.2023, 15:49","29.09.2023, 17:42","39576","0"
"C000708726","08.09.2023, 17:45","29.09.2023, 17:41","63456","10"
"C000549809","04.09.2023, 18:02","29.09.2023, 17:38","93413","0"
"C000682346","13.09.2023, 13:58","29.09.2023, 17:21","89281","10"
"C000363911","26.09.2023, 15:45","29.09.2023, 17:12","78359","10"
"C000257765","28.09.2023, 17:02","29.09.2023, 17:08","47443","5"
"C000624823","27.09.2023, 08:38","29.09.2023, 17:03","38690","10"
"C000851470","28.09.2023, 19:35","29.09.2023, 16:54","51371","10"
"C000733799","26.09.2023, 13:40","29.09.2023, 16:52","79112","10"
"C000803733","27.09.2023, 21:00","29.09.2023, 16:51","45768","10"
"C000495853","24.08.2023, 18:48","29.09.2023, 16:49","87730","10"
"C000864218","20.09.2023, 16:35","29.09.2023, 16:40","31737","5"
"C000760618","27.09.2023, 15:22","29.09.2023, 16:24","55288","10"
"C000686056","25.08.2023, 19:28","29.09.2023, 16:24","63667","10"
"C000674614","27.09.2023, 15:25","29.09.2023, 16:18","35329","10"
"C000463622","21.09.2023, 16:15","29.09.2023, 16:12","72805","10"
"C000784354","18.09.2023, 16:50","29.09.2023, 16:10","79219","10"
"C000810215","20.09.2023, 18:11","29.09.2023, 16:04","51147","0"
"C000662491","27.09.2023, 15:51","29.09.2023, 16:03","77776","10"
"C000741290","28.09.2023, 18:49","29.09.2023, 16:01","67725","10"
"C000784435","21.09.2023, 18:42","29.09.2023, 16:01","52222","10"
"C000680496","15.09.2023, 18:00","29.09.2023, 15:56","35094","10"
"C000803867","21.09.2023, 19:45","29.09.2023, 15:40","50997","10"
"C000731415","14.09.2023, 21:00","29.09.2023, 15:40","53894","5"
"C000735452","26.09.2023, 18:18","29.09.2023, 15:40","35423","15"
"C000774976","26.09.2023, 14:44","29.09.2023, 15:39","57629","10"
"C000618014","18.09.2023, 14:08","29.09.2023, 15:38","57392","10"
"C000778407","27.09.2023, 17:21","29.09.2023, 15:37","42549","10"
"C000802456","26.09.2023, 15:33","29.09.2023, 15:37","48163","10"
"C000739147","28.09.2023, 15:59","29.09.2023, 15:37","38350","10"
"C000764283","26.09.2023, 19:32","29.09.2023, 15:37","50181","10"
"C000692988","26.09.2023, 12:17","29.09.2023, 15:36","97957","10"
"C000459822","26.09.2023, 12:03","29.09.2023, 15:35","54439","10"
"C000724875","18.09.2023, 18:43","29.09.2023, 15:35","07570","10"
"C000610074","11.09.2023, 19:25","29.09.2023, 15:31","95497","0"
"C000760539","22.09.2023, 18:00","29.09.2023, 15:30","04924","10"
"C000690631","25.09.2023, 13:46","29.09.2023, 15:29","01737","10"
"C000762721","13.09.2023, 19:15","29.09.2023, 15:24","89420","10"
"C000057466","26.09.2023, 16:42","29.09.2023, 15:17","15345","10"
"C000544027","20.09.2023, 16:30","29.09.2023, 15:05","97508","15"
"C000671344","15.09.2023, 17:26","29.09.2023, 14:48","71131","10"
"C000619719","26.09.2023, 17:34","29.09.2023, 14:45","79689","5"
"C000550493","22.09.2023, 17:15","29.09.2023, 14:43","66787","10"
"C000670578","27.09.2023, 20:33","29.09.2023, 14:38","15859","10"
"C000707744","27.09.2023, 17:15","29.09.2023, 14:28","34289","10"
"C000426273","08.08.2023, 13:52","29.09.2023, 14:28","35510","0"
"C000806196","27.09.2023, 17:47","29.09.2023, 14:27","14656","5"
"C000815897","14.09.2023, 14:30","29.09.2023, 13:58","37199","10"
"C000810297","25.09.2023, 20:11","29.09.2023, 13:58","71560","10"
"C000746279","13.09.2023, 19:29","29.09.2023, 13:50","39365","16"
"C000809654","26.09.2023, 16:28","29.09.2023, 13:46","39615","10"
"C000523040","12.07.2023, 15:36","29.09.2023, 13:45","26409","10"
"C000875052","15.09.2023, 11:41","29.09.2023, 13:44","16909","10"
"C000649359","09.08.2023, 17:55","29.09.2023, 13:42","23715","10"
"C000653927","12.09.2023, 14:56","29.09.2023, 13:40","67697","10"
